Table,Manufacturer,Year,Author,VPW/toolkit,Download,VPS-ID,Date added,Vouched for by,Confidence,"Notes, comments",Comp. Corner,C.C. last played,Rules/Instruction Cards,Tutorials
Flash ,Williams,1979,Bord,,Flash (Williams 1979) - VPX - Pinball Tables,l-WMdk7X,28/06/2023,PinStratsDan,Full,,,,Flash,Williams Flash (1979) - Live Pinball Machine Tutorial
Flash Gordon,Bally,1981,Rothbauerw,,Flash Gordon (Bally 1981) - VPX - Pinball Tables,M1FFYDXz,01/07/2023,PinStratsDan,Full,,,06/11/2022,Flash Gordon - Pinball Rules,Flash Gordon Pinball Tutorial - Mobile Version
Frontier,Bally,1980,UnclePaulie,,Frontier (Bally 1980) - VPX - Pinball Tables,LTX_apM_0L,04/02/2026,Lminimart,Full,,,02/02/2026,https://pinballprimer.github.io/frontier_GRwjq.html,
Futurama,Original,2024,Wizball,,Futurama (Original 2024) - VPX - Pinball Tables,k_w8Y3slND,02/09/2024,Ballmrk,Full,,,26/08/2024,,
Galaxy,Stern,1980,Bord,,Galaxy (Stern 1980) - VPX - Pinball Tables,znNFli5nep,01/07/2023,PinStratsDan,Full,,,,Galaxy - Pinball Rules,
Game of Thrones LE,Stern,2015,VPW,,Game of Thrones LE (Stern 2015) VPW - VPX - Pinball Tables,Xv2JtB8_a1,28/06/2023,HouseofHayne,Full,Midnight Madness mode,,25/08/2025,Game of Thrones Pinball Rulesheet,SDTM: Ultimate Game of Thrones pinball Tutorial Part 1
Genesis ,Gottlieb,1986,SG1bsoN,,Genesis (Gottlieb 1986) SG1bsoN Mod - VPX - Pinball Tables,flZU1Zgd,28/06/2023,PinStratsDan,Full,,,,https://www.pinballrebel.com/game/pins/instruction/genesis.gif,Genesis Pinball Tutorial
Genie ,Gotlieb,1979,Bord,,Genie (Gottlieb 1979) - VPX - Pinball Tables,es74KTIZ,28/06/2023,PinStratsDan,Full,,,09/10/2023,Genie - Pinball Rules,Gottlieb Genie Pinball Gameplay & Tutorial with updated Pascal CPU software.
Gilligan's Island,Bally,1991,TastyWasps,,Gilligan's Island (Bally 1991) - VPX - Pinball Tables,AckMgFuPhC,20/11/2023,Colvert,Full,,,,Pinball Archive Rule Sheet: Gilligan's Island,How to Play: Episode 1 Gilligan's Island Pinball tutorial
Godzilla ,Sega,1998,VPW,,Godzilla (Sega 1998) VPW - VPX - Pinball Tables,mQ5U0pfcc7,17/09/2023,HayJay,Full,,,18/12/2023,"(PDF) Godzilla Rulesheet v1.0 by Dan Bradford Godzilla · 2019-08-30 · Godzilla Rulesheet v1.0 by Dan Bradford . Godzilla . by Sega January 1998, was designed by Joe Balcer with software - DOKUMEN.TIPS",SDTM Episode 87: Godzilla Pinball Machine Reviewhttps://www.youtube.com/watch?v=ZNIBQL5tRr0&t=1270s
Goldeneye ,Sega,1996,VPW,,Goldeneye (Sega 1996) VPW Mod - VPX - Pinball Tables,n_4piuthCj,28/06/2023,PinStratsDan,Full,,,28/08/2023,Pinball Archive Rule Sheet: Goldeneye,
Gorgar,Williams,1979,RetroRitchie,,Gorgar (Williams 1979) - VPX - Pinball Tables - Virtual Pinball Universe,_oViKbTpDo,13/11/2024,Colvert,Full,,,,Gorgar - Pinball Rules,"""Gorgar"" - a Pinball Tutorial + Bonus Content!"
Guardians of the Galaxy ,Stern,2017,Pincredibles,,Guardians of The Galaxy - PuP-Pack Original (PuP-Original) Game Creations - Virtual Pinball Universe,pq6RYRws,28/06/2023,PinStratsDan,Full,,,22/08/2022,Guardians of the Galaxy Pinball Rulesheet (WIP),Guardians of the Galaxy Pinball Tutorial
Guns N' Roses,Data East,1994,VPW,,Guns N' Roses VPW Edition - VPX - Pinball Tables,1cD0itEsay,01/10/2023,Colvert,Full,,,04/12/2023,Pinball Archive Rule Sheet: Guns 'n' Roses,https://www.facebook.com/watch/?v=1105146080088700
Halloween 1978-1981,Original,2022,HiRez00,,Halloween 1978-1981 (Original 2022) VPX,PbXCoo8mKk,28/06/2023,PinStratsDan,Full,,,31/10/2022,press and hold the right magnasave before starting an actual game,
Hang Glider,Bally,1976,VPW,,Hang Glider (Bally 1976) - VPX - Pinball Tables,K3mZhWVo,30/06/2024,Colvert,Full,,,,Hang Glider (1976),Hang Glider (Bally 1976) - VPX Video Instruction
Harlem Globetrotters On Tour,Bally,1979,VPW,,Harlem Globetrotters on Tour (Bally 1979) VPW,u1nmwKYnbD,12/09/2023,Frostaz,Full,,,23/09/2024,Harlem Globetrotters On Tour Mini-Guide | Pinball for Mortals!,Harlem Globetrotters (Bally 1979) - VPX Instruction Video
Harry Potter,Original,2020,Orbitalpin,,Harry Potter – Under the Glass – Orbital Pinball,6e5ju8yO,10/07/2023,Primetime5k,Medium,"Stock physics, infinite balls in some modes",,,Rules & Docs – Orbital Pinball,
